Genus	J03630_V1_V3	J03631_V1_V3	J03632_V1_V3	J03644_V1_V3	J03630_V1_V9	J03631_V1_V9	J03632_V1_V9	J03644_V1_V9
02d06	0.0	7.0	0.0	0.0				
Adlercreutzia	6.0	0.0	0.0	0.0				
Akkermansia	0.0	12.0	204.0	543.0	0.0	51.0	684.0	4245.0
Alistipes	2.0	258.0	140.0	46.0	0.0	386.0	153.0	48.0
Anaerostipes	0.0	3.0	3.0	9.0				
Bacteroides	3419.0	2020.0	1066.0	740.0	2328.0	3213.0	1015.0	742.0
Blautia	46.0	86.0	36.0	30.0				
Catenibacterium	0.0	0.0	0.0	17.0	0.0	0.0	0.0	50.0
Cloacibacillus	0.0	0.0	0.0	7.0				
Clostridium	77.0	45.0	26.0	14.0	73.0	129.0	0.0	857.0
Collinsella	1.0	11.0	0.0	2.0				
Coprococcus	65.0	21.0	135.0	45.0	0.0	2.0	244.0	99.0
Desulfovibrio	0.0	0.0	0.0	8.0	0.0	0.0	0.0	11.0
Dialister	0.0	13.0	19.0	0.0	0.0	822.0	168.0	0.0
Dorea	7.0	9.0	4.0	13.0				
Escherichia	1.0	1.0	60.0	0.0	0.0	0.0	38.0	0.0
Faecalibacterium	613.0	485.0	373.0	289.0	957.0	876.0	306.0	334.0
Lachnobacterium	4.0	1.0	1.0	0.0				
Lachnospira	18.0	51.0	55.0	14.0	3.0	13.0	0.0	3.0
Odoribacter	0.0	26.0	10.0	98.0	0.0	24.0	11.0	177.0
Oscillospira	46.0	54.0	68.0	216.0	15.0	17.0	22.0	327.0
Oxalobacter	0.0	0.0	0.0	6.0				
Parabacteroides	339.0	404.0	45.0	172.0	83.0	531.0	0.0	61.0
Paraprevotella	130.0	78.0	1.0	6.0	75.0	51.0	0.0	0.0
Phascolarctobacterium	69.0	0.0	25.0	36.0	246.0	0.0	1.0	133.0
Prevotella	0.0	0.0	560.0	1.0	0.0	0.0	1250.0	0.0
Roseburia	0.0	116.0	52.0	10.0	48.0	411.0	79.0	46.0
Ruminococcus	27.0	49.0	378.0	174.0	1.0	30.0	215.0	277.0
SMB53	0.0	0.0	5.0	0.0				
Streptococcus					1.0	6.0	0.0	4.0
Subdoligranulum	5.0	50.0	29.0	128.0	0.0	0.0	12.0	0.0
Sutterella	158.0	78.0	3.0	4.0	505.0	453.0	0.0	0.0
cc_115	0.0	0.0	0.0	4.0	0.0	0.0	0.0	30.0
unclassified	379.0	697.0	1198.0	888.0	33.0	493.0	2779.0	1392.0
