Locus	OTU_10_AMP1_Ibis_MPYG_C075_P004_bc055	OTU_11_AMP2_IBIS_MRS_CO2_13_bc003	OTU_11_AMP2_IBIS_MRS_CO2_17_bc007	OTU_12_AMP2_J83164_CON96_3E_MPYGCO2_12_bc092	OTU_12_AMP1_Knolly_MUC_C013_P001_bc058	OTU_12_AMP1_Yeti_PYGT_CO2_R001_bc085	OTU_13_AMP1_Knolly_MUC_C080_P004_bc001	OTU_14_AMP1_Knolly_MUC_C081_P005_bc002	OTU_14_AMP2_MTB_92_Sample_1E_bc037	OTU_15_AMP1_Knolly_MUC_C082_P005_bc003	OTU_16_AMP1_Knolly_MUC_C083_P005_bc004	OTU_17_AMP1_Knolly_MUC_C084_P005_bc005	OTU_18_AMP1_Knolly_MUC_C111_P006_bc029	OTU_18_AMP1_Knolly_MUC_C086_P005_bc007	OTU_18_AMP1_Knolly_MUC_C091_P005_bc012	OTU_19_AMP1_Thomson_MRS_C003_P001_bc059	OTU_1_AMP1_Ibis_BBE_C002_P001_bc056	OTU_20_AMP1_Yeti_CMC_C032_P002_bc046	OTU_21_AMP1_Yeti_CMC_C023_P002_bc040	OTU_21_AMP1_Yeti_CMC_C029_P002_bc044	OTU_22_AMP2_MTB78_3E_CO2_MPYG_01_bc003	OTU_22_Yeti_MUC_C030_P002_J46322_bc026	OTU_22_AMP1_Yeti_CMC_C024_P002_bc041	OTU_22_AMP1_Yeti_COL_C021_P002_bc064	OTU_23_AMP1_Yeti_CMC_CO2_R001_bc084	OTU_24_AMP2_J86930_Norco_THIOCO2_C003_PRV_bc025	OTU_24_Saint_BLD_C015_P003_J31236	OTU_24_AMP1_Yeti_COL_C005_P001_bc062	OTU_25_AMP2_MTB96_3E_CO2_MPYG_18_bc084	OTU_26_AMP1_Yeti_COL_C026_P003_bc065	OTU_27_AMP1_Yeti_MPYG_C073_P004_bc060	OTU_28_AMP1_Yeti_MPYG_C078_P004_bc061	OTU_29_AMP1_Yeti_THIO_CO2_R001_bc083	OTU_29_AMP2_MTB_97_Sample_3E_bc096	OTU_2_AMP2_MTB97_3E_CO2_MPYG_FullPlate_bc059	OTU_30_AMP2_Ibis_CO2_THIO_C019_bc075	OTU_31_AMP2_J83155_CON96_3E_MPYGCO2_3_bc089	OTU_31_AMP2_MTB97_3E_CO2_THIO_FullPlate_bc065	OTU_32_AMP2_J87710_Comm_THIOCO2_C006_PRV_bc041	OTU_32_AMP2_MTB96_3E_CO2_MPYG_06_bc045	OTU_32_AMP2_J45909_Ibis_MPYG_C069_Ccomes_bc005	OTU_32_AMP2_J85312_MTB96_THIOCO2_C022_IV_bc055	OTU_32_AMP2_J85319_MTB96_THIO_CO2_C035_PRV_bc053	OTU_33_AMP2_MTB75_3E_CO2_MPYG_08_bc072	OTU_33_AMP2_MTB75_3E_CO2_MPYG_10_bc074	OTU_33_AMP2_MTB75_3E_CO2_MPYG_12_bc078	OTU_33_AMP2_MTB75_3E_CO2_THIO_10_bc021	OTU_33_AMP2_MTB75_3E_CO2_THIO_14_bc024	OTU_34_AMP2_J73800_Yeti_MPYGCO2_C017_Fpraus_bc008	OTU_34_AMP2_MTB96_3E_CO2_THIO_01_bc049	OTU_35_AMP2_J74396_Prevotella_copri_NYU_bc018	OTU_35_MP2_J78807_Prevotella_copri_DSMZ_18205_bc017	OTU_36_AMP2_J83143_CON96_2E_MPYGCO2_1_bc083	OTU_36_AMP2_MTB78_3E_CO2_THIO_FullPlate_bc063	OTU_37_AMP2_J83144_CON96_2E_MPYGCO2_2_bc084	OTU_38_AMP2_J83153_CON96_3E_MPYGCO2_1_bc087	OTU_39_AMP2_J83154_CON96_3E_MPYGCO2_2_bc088	OTU_3_AMP2_MTB75_3E_CO2_THIO_FullPlate_bc062	OTU_3_Prob_TSB_T1_AER_Day1_J61565_bc060	OTU_3_AMP1_Ibis_INU_Full_Plate_A_bc036	OTU_40_AMP2_J83159_CON96_3E_MPYGCO2_7_bc090	OTU_41_AMP2_J86917_SRAM_THIOCO2_C006_PRV_bc074	OTU_41_AMP2_MTB76_5E_CO2_MPYG_02_bc085	OTU_41_AMP2_J83784_MTB85_THIOCO2_C0010_PRV_bc044	OTU_41_AMP2_J83788_MTB77_THIOCO2_C003_PRV_bc023	OTU_41_AMP2_J85313_MTB85_THIOCO2_C0016_IV_bc045	OTU_42_AMP2_J84818_MTB97_MPYGCO2_C023_PRV_bc058	OTU_42_AMP2_J84819_MTB97_THIOCO2_C006_PRV_bc060	OTU_42_AMP2_J84821_MTB76_THIOCO2_C001_PRV_bc017	OTU_42_AMP2_J84822_MTB76_THIOCO2_C006_PRV_bc018	OTU_42_AMP2_J85803_MTB75_THIOCO2_C014_PRV_bc016	OTU_43_AMP2_J85324_MTB78_THIO_CO2_C004_PRV_bc026	OTU_43_AMP2_J85792_MTB80_THIOCO2_C002_PRV_bc031	OTU_43_AMP2_J87720_Giant_THIOCO2_C013_PRV_bc051	OTU_43_AMP2_MTB75_3E_CO2_MPYG_11_bc077	OTU_43_AMP2_MTB76_5E_CO2_MPYG_09_bc091	OTU_44_AMP2_MTB76_5E_CO2_THIO_12_bc033	OTU_45_AMP2_MTB78_3E_CO2_THIO_11_bc043	OTU_45_AMP2_MTB78_3E_CO2_THIO_17_bc047	OTU_45_AMP2_J85797_MTB78_THIOCO2_C007_PRV_bc028	OTU_45_AMP2_MTB78_3E_CO2_MPYG_05_bc007	OTU_45_AMP2_MTB78_3E_CO2_THIO_10_bc042	OTU_46_AMP2_MTB96_3E_CO2_THIO_14_bc048	OTU_46_AMP2_MTB96_3E_CO2_THIO_16_bc050	OTU_46_AMP2_MTB76_5E_CO2_MPYG_FullPlate_bc056	OTU_46_AMP2_MTB96_3E_CO2_MPYG_17_bc083	OTU_46_AMP2_MTB96_3E_CO2_THIO_10_bc055	OTU_47_AMP2_J86913_Renthal_THIOCO2_C003_PRV_bc065	OTU_47_AMP2_J86914_Renthal_THIOCO2_C005_PRV_bc066	OTU_48_AMP2_J86916_Renthal_THIOCO2_C017_PRV_bc068	OTU_49_AMP2__CON95_THIOCO2_C005_PRV_bc065	OTU_49_AMP2_J86919_SRAM_THIOCO2_C011_PRV_bc076	OTU_4_AMP1_Ibis_MPYG_C001_P001_bc049	OTU_50_AMP2_J86941_MTB81_THIOCO2_C003_PRV_bc035	OTU_50_AMP2_J86926_Easton_THIOCO2_C002_PRV_bc021	OTU_51_AMP2_J87730_Enve_THIOCO2_C008_PRV_bc061	OTU_52_AMP2_J89154_Devinci_THIOCO2_C003_PRV_bc071	OTU_53_AMP2_J89156_Devinci_THIOCO2_C014_PRV_bc073	OTU_54_AMP2_MTB78_3E_CO2_THIO_03_bc036	OTU_55_AMP2_MTB78_3E_CO2_THIO_04_bc037	OTU_56_AMP2_MTB78_3E_CO2_THIO_05_bc038	OTU_56_AMP2_MTB78_3E_CO2_THIO_16_bc046	OTU_57_AMP2_MTB78_3E_CO2_THIO_07_bc040	OTU_58_AMP2_MTB78_3E_CO2_THIO_13_bc044	OTU_59_AMP2_MTB96_3E_CO2_THIO_09_bc054	OTU_59_AMP2_MTB96_3E_CO2_THIO_15_bc049	OTU_59_AMP2_MTB96_3E_CO2_THIO_03_bc050	OTU_5_AMP2_Yeti_MPYG_14_ROUND_bc060	OTU_5_AMP1_Ibis_MPYG_C009_P001_bc050	OTU_5_AMP2_MTB78_3E_CO2_THIO_08_bc041	OTU_60_AMP2_MTB_97_Sample_3C_bc064	OTU_60_AMP2_MTB_97_Sample_3D_bc087	OTU_61_Ibis_BLD_C002_P001_J30280	OTU_61_Yeti_BLD_C017_P003_J31096	OTU_6_AMP1_Ibis_MPYG_C014_P001_bc051	OTU_7_AMP2_MTB97_3E_CO2_MPYG_08_bc089	OTU_7_AMP1_Ibis_MPYG_C021_P002_bc052	OTU_7_AMP2_MTB78_3E_CO2_MPYG_02_bc004	OTU_7_AMP2_MTB96_3E_CO2_MPYG_08_bc047	OTU_8_AMP1_Ibis_MPYG_C024_P002_bc053	OTU_9_AMP2_J45880_Ibis_MPYG_C040_Dform_bc006	OTU_9_AMP2_MTB97_3E_CO2_THIO_18_bc054
1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.353081986834233	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.757709251101325	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
